NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
35,현대캐피탈,836248,등급없음,등급없음,등급없음,A,2024,,,,
34,현대커머셜,888975,등급없음,등급없음,등급없음,A,2024,,,,
33,현대코퍼레이션,011760,B+,B+,B+,B+,2024,,,,
32,현대코퍼레이션홀딩스,227840,B+,B,B+,B+,2024,,,,
31,현대퓨처넷,126560,A,A+,A+,A,2024,,,,
30,현대해상,001450,A,A,A+,A,2024,,,,
29,현대홈쇼핑,057050,A+,A,A+,A+,2024,,,,
28,형지엘리트,093240,D,D,D,D,2024,,,,
27,혜인,003010,D,D,D,D,2024,,,,
26,호전실업,111110,C,D,D,B+,2024,,,,
25,호텔신라,008770,A,B+,A,A,2024,,,,
24,화승알앤에이,378850,B+,B+,B+,B+,2024,,,,
23,화승엔터프라이즈,241590,B+,B+,A,B+,2024,,,,
22,화승인더스트리,006060,B+,B+,A,B+,2024,,,,
21,화승코퍼레이션,013520,B+,B+,B+,B+,2024,,,,
20,화신,010690,B+,B+,A,B,2024,,,,
19,화인베스틸,133820,D,C,D,D,2024,,,,
18,화천기계,010660,C,D,C,C,2024,,,,
17,화천기공,000850,C,D,C,C,2024,,,,
16,환인제약,016580,C,D,C,B+,2024,,,,
15,황금에스티,032560,C,D,D,B+,2024,,,,
14,효성,004800,A,A,A+,B+,2024,,,,
13,효성 ITX,094280,A,A,A+,A,2024,,,,
12,효성중공업,298040,B+,A,A+,B,2024,,,,
11,효성티앤씨,298020,B+,A,A+,B,2024,,,,
10,효성화학,298000,A,A,A+,B+,2024,,,,
9,후성,093370,B,B+,A,C,2024,,,,
8,휴니드테크놀러지스,005870,C,C,D,C,2024,,,,
7,휴비스,079980,B+,B+,A,B+,2024,,,,
6,휴스틸,005010,C,C,C,C,2024,,,,
5,휴온스,243070,A,A,A,B+,2024,,,,
4,휴젤,145020,C,C,C,B,2024,,,,
3,흥국생명보험,818586,등급없음,등급없음,등급없음,B,2024,,,,
2,흥국화재,000540,B+,C,B+,B+,2024,,,,
1,흥아해운,003280,B,B,B+,B,2024,,,,
