NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
1049,AJ네트웍스,095570,B+,C,A,B+,2023,,,,
1048,AK홀딩스,006840,A,A,A+,B+,2023,,,,
1047,BGF,027410,A,A,A+,B+,2023,,,,
1046,BGF리테일,282330,A,A,A+,A,2023,,,,
1045,BNK금융지주,138930,A,A,A+,A,2023,,,,
1044,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2023,,,,
1043,BYC,001460,D,D,D,D,2023,,,,
1042,CJ,001040,A,A,A+,B+,2023,,,,
1041,CJ CGV,079160,A,A,A+,B+,2023,,,,
1040,CJ ENM,035760,B+,B+,A+,B,2023,,,,
1039,CJ 바이오사이언스,311690,C,D,C,B,2023,,,,
1038,CJ대한통운,000120,A,A,A+,B+,2023,,,,
1037,CJ씨푸드,011150,B+,B+,A,B,2023,,,,
1036,CJ제일제당,097950,A,A,A+,A,2023,,,,
1035,CJ프레시웨이,051500,A,B+,A+,A,2023,,,,
1034,CS홀딩스,000590,C,D,D,B,2023,,,,
1033,DB,012030,C,D,B,C,2023,,,,
1032,DB금융투자,016610,B,C,B,B+,2023,,,,
1031,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2023,,,,
1030,DB손해보험,005830,B+,B+,A,B+,2023,,,,
1029,DB하이텍,000990,B+,A,A,B,2023,,,,
1028,DGB금융지주,139130,A,A+,A,A,2023,,,사회 등급조정(2024.07.),
1027,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2023,,,,
1026,DH오토넥스,000300,D,C,D,D,2023,,,,
1025,DL,000210,A,A,A,A,2023,,,,
1024,DL건설,001880,A,A,A+,B+,2023,,,,
1023,DL이앤씨,375500,A,A,B+,A,2023,,,사회 등급조정(2023.10.),
1022,DN오토모티브,007340,C,C,B,D,2023,,,,
1021,DRB동일,004840,B+,B,A,B+,2023,,,,
1020,DSR,155660,D,C,C,D,2023,,,,
1019,DSR제강,069730,C,C,C,B,2023,,,,
1018,E1,017940,A,A,A,B+,2023,,,,
1017,F&F,383220,B+,B+,A+,B,2023,,,,
