companyName,industry,companyType,capital,ceoName,mainBusiness,Homage,affiliates,numberOfEmployees,establishmentDate,revenue,graduateSalary,hasFourInsurances,address
신세계인터내셔날,셔츠 및 블라우스 소매업,대기업,357억원 (2024.12.31),윌리엄김/김홍극,"의류,생활용품,화장품 판매,수입,제조",http://www.sikorea.co.kr,신세계그룹 (주)신세계푸드 (주)광주신세계 신세계의정부역사(주) 신세계건설(주) (주)신세계야구단 (주)지마켓 세린식품(주) (주)신세계까사 (주)신세계톰보이 (주)신세계사이먼 (주)신세계아이앤씨 (주)신세계 (주)조선호텔앤리조트 (주)신세계센트럴 서울고속버스터미널(주) (주)에스씨케이컴퍼니 더보기,"1,099명 (2024.12.31)",1980.10.25 (46년차),1조 797억원 (2024.12.31),"2,782만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 도산대로 449 (청담동, SICHEONGDAM)"
신세계푸드,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
신송홀딩스,곡물 및 유지작물 도매업,중견기업,59억 1천만원 (2024.12.31),조갑주/조승현,"국민연금, 건강보험, 고용보험, 산재보험","서울 영등포구 여의나루로 53-1 (여의도동, 대오빌딩) 6층",신송그룹 신송산업(주) 신송식품(주) 농업회사법인논산식품(주) 농업회사법인광석식품(주) (주)신송지티아이,16명 (2024.12.31),1970.11.05 (56년차),36억 4천만원 (2024.12.31),"사업경영,관리자문/식품 제조,판매,무역",http://www.singsongholdings.com,N/A
신영와코루,섬유·의류·패션,중소기업,-,이의평/이호성/이성원,-,N/A,N/A,643명,1968.10.21 (58년차),-,"여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용","대전 동구 대전로815번길 45 (정동, 신영빌딩) 서남사업부",N/A
신영증권,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
신원,여자용 겉옷 제조업,중견기업,513억 3천만원 (2024.12.31),박정주,"국민연금, 건강보험, 고용보험, 산재보험",서울 마포구 도화2동 532번지 신원빌딩,신원그룹 (주)에스더블유성거나 신원글로벌(주) 신원지엘에스(주) (주)고잉그린컴퍼니,785명 (2024.12.31),1973.09.26 (53년차),"9,366억 6천만원 (2024.12.31)","여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행,임대사업",http://www.sw.co.kr,N/A
신일전자,가전제품 소매업,중소기업,-,황보태용,-,N/A,N/A,0명,2001.11.20 (25년차),-,가전제품 소매,"대구 동구 아양로7길 12 (신암동, 신암뜨란채) 109동1403호",N/A
신풍,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
신풍제약,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
신한은행,은행·금융,대기업,-,이준철,-,N/A,N/A,300명,2008.07 (18년차),-,주택담보대출 및 신용대출상품 마케팅,서울 광진구 구의동 246-76 3층 신한은행 대출영업본부,N/A
