기업명,산업,기업구분,자본금,대표자,주요사업,홈페이지,계열사,사원수,설립일,매출액,대졸초임,4대보험,주소
AJ네트웍스,렌탈·임대·리스,대기업,468억 2천만원 (2024.12.31),곽정호,"파렛트,OA장비,건설장비 등 대여,도소매,전자상거래",http://www.ajnetworks.co.kr,AJ네트웍스그룹 에이제이아이씨티(주) 에이제이대원(주) (주)월드컨설팅 에이제이토탈(주) 에이제이렌탈서비스(주) (주)포시즌컨설팅 에이제이스포츠(주) (주)티에스글로벌 (주)에이제이전국스카이 에이제이에너지(주) 에이제이리테일(주) 에이스산업기술(주) 에이아이앤솔루션즈(주) 에이제이트랜스밸류(주),500명,2000.02.10 (26년차),"6,116억 7천만원 (2024.12.31)","3,900만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 송파구 정의로8길 9 (문정동) AJ빌딩
AK홀딩스,기타 토목시설물 건설업,중소기업,-,김진성,"국민연금, 건강보험, 고용보험, 산재보험","서울 동작구 남부순환로 2077 (사당동, 건축회관) 6층",N/A,10명,2017.05.25 (9년차),-,토목공사,-,N/A
BGF,체인화 편의점,중견기업,172억 8천만원 (2024.12.31),민승배,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 405 (삼성동, BGF사옥)",BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 (주)비지에프에코머티리얼즈 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 더보기,"2,869명 (2024.12.31)",2017.11.01 (9년차),"8조 5,921억원 (2024.12.31)",체인화 편의점,http://www.bgfretail.com,N/A
